,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14
2019/5/1 0:00,4,6,3,0,3,3,1,1,5,0,0,1,1,12
2019/5/1 0:05,2,11,5,1,2,0,3,0,6,0,2,0,2,19
2019/5/1 0:10,0,6,8,0,2,2,1,0,11,0,0,0,0,9
2019/5/1 0:15,5,8,5,1,1,0,1,2,6,0,2,2,0,12
2019/5/1 0:20,3,5,4,1,1,4,2,0,7,0,0,2,2,13
2019/5/1 0:25,1,5,4,2,3,1,1,0,7,0,1,2,0,14
2019/5/1 0:30,3,8,4,0,3,1,0,0,6,0,2,0,0,12
2019/5/1 0:35,3,7,4,0,2,3,2,0,3,0,0,1,1,9
2019/5/1 0:40,1,8,3,0,1,1,6,0,6,0,0,0,1,14
2019/5/1 0:45,3,9,2,1,1,1,3,1,13,0,1,0,0,19
2019/5/1 0:50,3,9,2,0,3,2,4,1,11,0,0,3,1,13
2019/5/1 0:55,0,9,6,0,2,2,2,0,5,0,0,1,0,11
2019/5/1 1:00,5,1,1,0,2,0,4,1,4,1,0,1,0,10
2019/5/1 1:05,2,8,4,0,3,0,4,0,8,0,0,0,0,7
2019/5/1 1:10,1,5,0,0,1,1,0,0,6,0,0,0,0,6
2019/5/1 1:15,0,5,4,0,0,0,2,0,3,0,1,0,0,14
2019/5/1 1:20,3,5,4,0,3,1,3,1,3,0,0,0,0,11
2019/5/1 1:25,0,4,1,0,2,2,1,0,11,0,1,2,0,9
2019/5/1 1:30,1,5,1,0,3,0,3,0,6,0,1,2,0,7
2019/5/1 1:35,5,6,3,0,2,3,4,0,10,0,0,1,0,10
2019/5/1 1:40,4,5,6,1,1,1,1,0,11,0,1,1,1,14
2019/5/1 1:45,1,6,3,2,0,0,4,1,2,0,1,0,0,12
2019/5/1 1:50,5,7,5,1,0,1,2,0,3,0,2,0,0,16
2019/5/1 1:55,1,2,5,0,2,1,1,1,2,0,0,0,2,13
2019/5/1 2:00,2,5,5,0,1,1,2,0,6,1,0,1,1,10
2019/5/1 2:05,2,2,1,2,1,0,3,0,7,2,3,1,0,12
2019/5/1 2:10,1,1,1,0,1,4,4,0,6,0,0,2,0,6
2019/5/1 2:15,0,3,1,2,2,0,1,0,4,2,1,1,0,12
2019/5/1 2:20,2,4,0,0,1,0,1,0,11,0,0,1,0,15
2019/5/1 2:25,1,3,2,1,1,2,2,0,10,0,0,0,1,12
2019/5/1 2:30,0,5,2,0,1,3,2,0,14,1,1,0,0,12
2019/5/1 2:35,1,5,3,0,0,1,2,0,10,0,1,0,1,7
2019/5/1 2:40,3,5,7,0,2,0,0,0,10,0,0,1,0,12
2019/5/1 2:45,1,3,2,1,2,3,1,0,15,0,2,1,1,13
2019/5/1 2:50,2,3,3,1,2,1,3,0,13,0,0,0,0,7
2019/5/1 2:55,2,6,4,2,1,2,5,0,13,2,0,2,1,12
2019/5/1 3:00,0,3,0,0,1,0,4,0,12,0,1,1,1,14
2019/5/1 3:05,1,7,2,0,2,0,1,2,16,0,2,1,0,8
2019/5/1 3:10,3,1,2,0,3,0,1,2,12,0,0,1,0,4
2019/5/1 3:15,2,3,6,0,1,1,1,0,9,0,2,1,1,9
2019/5/1 3:20,1,5,4,0,2,0,2,0,10,0,0,0,0,9
2019/5/1 3:25,2,5,2,0,0,3,4,0,14,0,1,1,0,10
2019/5/1 3:30,1,4,2,0,1,1,3,0,11,0,0,2,0,8
2019/5/1 3:35,3,4,2,0,2,0,3,1,10,1,1,1,0,9
2019/5/1 3:40,3,1,5,0,4,0,2,0,5,0,0,1,0,10
2019/5/1 3:45,3,10,5,0,0,0,5,0,7,0,1,0,0,11
2019/5/1 3:50,0,8,2,0,1,1,2,0,7,0,0,2,0,10
2019/5/1 3:55,1,2,1,0,0,1,4,1,10,0,0,1,0,8
2019/5/1 4:00,2,2,3,0,0,2,6,1,10,2,0,2,0,9
2019/5/1 4:05,0,1,2,0,1,0,3,0,4,0,1,0,1,4
2019/5/1 4:10,2,2,2,0,2,1,1,0,7,1,2,0,0,6
2019/5/1 4:15,3,1,2,0,0,0,4,0,11,0,0,1,0,13
2019/5/1 4:20,2,1,4,0,1,0,4,0,10,0,0,1,1,8
2019/5/1 4:25,1,2,4,0,2,0,3,1,3,0,0,0,1,13
2019/5/1 4:30,0,4,1,0,2,0,2,0,5,0,0,1,0,3
2019/5/1 4:35,0,4,2,0,0,1,3,0,9,1,1,2,0,9
2019/5/1 4:40,0,3,2,0,0,0,0,0,6,1,1,1,0,11
2019/5/1 4:45,2,0,5,0,1,0,4,2,4,0,1,1,1,8
2019/5/1 4:50,0,6,4,1,2,1,1,0,4,0,1,0,0,7
2019/5/1 4:55,1,2,1,0,2,0,1,0,10,0,1,3,0,7
2019/5/1 5:00,0,4,3,0,0,0,1,0,5,0,0,0,0,11
2019/5/1 5:05,2,4,5,0,0,0,1,0,9,0,0,0,1,6
